,accuracy,f1_score_weighted,f1_score_macro,recall_weighted,recall_score_macro,activities_train,activities_test,n_outputs,n_features,n_timesteps,n_epochs,batch_size,kfold_iteration,model_name,validation,sensors,dataset
0,0.34430546412113233,0.3162112553061686,0.1563833592159638,0.34430546412113233,0.19483034907042285,[   9.   53.  233.  231. 1795.   62. 2754.  747.   93.  605. 1456. 1380. 1114.  790. 1126.  908.  551.   48. 3358.  459.  288.  165.],[   4.   46.   70.   30.  391.    0.  700.  154.   33.  102.  230.  527.  144.  285.  468.   83.   68.    3. 1044.    8.   58.  109.],22,70,600,1,64,0,resnet,lwo,"LF,LW,ST,RW,RF",22labels
1,0.35659425060346717,0.36952210236486666,0.20815609697669582,0.35659425060346717,0.22072630066269727,[  11.   93.  274.  140. 1893.    0. 2623.  745.  113.  513. 1438. 1566. 1123.  771. 1170.  803.  508.   40. 3777.   88.  294.  242.],[  2.   6.  29. 121. 293.  62. 831. 156.  13. 194. 248. 341. 135. 304. 424. 188. 111.  11. 625. 379.  52.  32.],22,70,600,1,64,1,resnet,lwo,"LF,LW,ST,RW,RF",22labels
2,0.3636962247585601,0.3635503026006013,0.17020223322790362,0.3636962247585601,0.18028373997028735,[   7.   60.  185.  246. 1657.   62. 2645.  692.  116.  574. 1305. 1675.  968.  921. 1322.  686.  512.   45. 3589.  459.  261.  239.],[  6.  39. 118.  15. 529.   0. 809. 209.  10. 133. 381. 232. 290. 154. 272. 305. 107.   6. 813.   8.  85.  35.],22,70,600,1,64,2,resnet,lwo,"LF,LW,ST,RW,RF",22labels
3,0.27194907813871816,0.2800162812588991,0.1551625916926237,0.27194907813871816,0.19001763786406126,[  12.   99.  279.  244. 1789.   62. 2783.  739.   85.  582. 1333. 1511.  880.  949. 1353.  662.  481.   27. 3388.  452.  300.  216.],"[1.000e+00 0.000e+00 2.400e+01 1.700e+01 3.970e+02 0.000e+00 6.710e+02 1.620e+02 4.100e+01 1.250e+02 3.530e+02 3.960e+02 3.780e+02
 1.260e+02 2.410e+02 3.290e+02 1.380e+02 2.400e+01 1.014e+03 1.500e+01 4.600e+01 5.800e+01]",22,70,600,1,64,3,resnet,lwo,"LF,LW,ST,RW,RF",22labels
4,0.29631255487269537,0.2835687329814905,0.14891238292327993,0.29631255487269537,0.1589893306976887,[  13.   91.  241.  183. 1610.   62. 3011.  681.   97.  554. 1212. 1496.  947.  869. 1405.  905.  424.   44. 3496.  410.  241.  234.],[  0.   8.  62.  78. 576.   0. 443. 220.  29. 153. 474. 411. 311. 206. 189.  86. 195.   7. 906.  57. 105.  40.],22,70,600,1,64,4,resnet,lwo,"LF,LW,ST,RW,RF",22labels
0,0.36846001974333664,0.307327551064436,0.1259692712973643,0.36846001974333664,0.1421217006421474,[  13.   98.  291.  224. 1890.   62. 2746.  781.  115.  557. 1386. 1547. 1113.  835. 1300.  758.  531.   44. 3525.  459.  302.  153.],[  0.   1.  12.  37. 296.   0. 708. 120.  11. 150. 300. 360. 145. 240. 294. 233.  88.   7. 877.   8.  44. 121.],22,70,600,deepconv,1,1,128,"[32, 32, 32, 32]",False,1,64,0,kfold,"LF,LW,ST,RW,RF",22labels
1,0.37212897526501765,0.31840169508884564,0.15739516198776643,0.37212897526501765,0.18727649056831291,[   7.   51.  230.  181. 1749.   62. 2683.  726.  100.  642. 1541. 1347. 1095.  841. 1117.  853.  503.   49. 3673.  255.  299.  250.],[  6.  48.  73.  80. 437.   0. 771. 175.  26.  65. 145. 560. 163. 234. 477. 138. 116.   2. 729. 212.  47.  24.],22,70,600,deepconv,1,1,128,"[32, 32, 32, 32]",False,1,64,1,kfold,"LF,LW,ST,RW,RF",22labels
2,0.28574993760918393,0.20380563277277222,0.09167706671261469,0.28574993760918393,0.13263969790918165,[   9.   93.  213.  216. 1609.    0. 3269.  738.  101.  590. 1225. 1751.  913.  951. 1361.  819.  528.   45. 3420.  459.  254.  211.],[  4.   6.  90.  45. 577.  62. 185. 163.  25. 117. 461. 156. 345. 124. 233. 172.  91.   6. 982.   8.  92.  63.],22,70,600,deepconv,1,1,128,"[32, 32, 32, 32]",False,1,64,2,kfold,"LF,LW,ST,RW,RF",22labels
3,0.3571705426356589,0.2870586819736217,0.11344154515412606,0.3571705426356589,0.13075242738609769,[  12.   62.  223.  212. 1741.   62. 2478.  654.  106.  517. 1330. 1491. 1040.  764. 1277.  606.  493.   26. 3601.  447.  258.  222.],[  1.  37.  80.  49. 445.   0. 976. 247.  20. 190. 356. 416. 218. 311. 317. 385. 126.  25. 801.  20.  88.  52.],22,70,600,deepconv,1,1,128,"[32, 32, 32, 32]",False,1,64,3,kfold,"LF,LW,ST,RW,RF",22labels
4,0.31420059582919563,0.27686398582613053,0.11690458141131806,0.31420059582919563,0.12915578235471248,[  11.   92.  255.  211. 1755.   62. 2640.  705.   82.  522. 1262. 1492.  871.  909. 1321.  928.  421.   40. 3389.  248.  271.  260.],[   2.    7.   48.   50.  431.    0.  814.  196.   44.  185.  424.  415.  387.  166.  273.   63.  198.   11. 1013.  219.   75.   14.],22,70,600,deepconv,1,1,128,"[32, 32, 32, 32]",False,1,64,4,kfold,"LF,LW,ST,RW,RF",22labels
0,0.27833158447009443,0.18374327625690137,0.07519712264621911,0.27833158447009443,0.12207992548977244,[  10.   92.  263.  241. 1606.   62. 3114.  739.  108.  641. 1295. 1550. 1105.  996. 1264.  896.  505.   46. 3570.  302.  299.  266.],[  3.   7.  40.  20. 580.   0. 340. 162.  18.  66. 391. 357. 153.  79. 330.  95. 114.   5. 832. 165.  47.   8.],22,70,600,deepconv,1,1,128,"[32, 32, 32, 32]",False,1,64,0,lro,"LF,LW,ST,RW,RF",22labels
1,0.28673050615595075,0.21248961547892767,0.10707120654524527,0.28673050615595075,0.1382191182282657,[   8.   23.  224.  164. 1956.    0. 3147.  762.  100.  649. 1429. 1507. 1079.  928. 1043.  925.  561.   51. 3596.  467.  283.  225.],[  5.  76.  79.  97. 230.  62. 307. 139.  26.  58. 257. 400. 179. 147. 551.  66.  58.   0. 806.   0.  63.  49.],22,70,600,deepconv,1,1,128,"[32, 32, 32, 32]",False,1,64,1,lro,"LF,LW,ST,RW,RF",22labels
2,0.31634011793798744,0.26305965538175335,0.10064526665531659,0.31634011793798744,0.10898134375367811,[  12.   89.  193.  241. 1802.   62. 2494.  726.  118.  593. 1345. 1527.  940.  810. 1275.  607.  532.   37. 3416.  236.  299.  171.],[  1.  10. 110.  20. 384.   0. 960. 175.   8. 114. 341. 380. 318. 265. 319. 384.  87.  14. 986. 231.  47. 103.],22,70,600,deepconv,1,1,128,"[32, 32, 32, 32]",False,1,64,2,lro,"LF,LW,ST,RW,RF",22labels
3,0.3491164476665156,0.2941232121311082,0.11284473588841669,0.3491164476665156,0.12887187948719775,[   9.   97.  267.  184. 1726.   62. 2516.  687.  109.  452. 1379. 1567. 1052.  842. 1455.  822.  454.   37. 3715.  467.  256.  213.],[  4.   2.  36.  77. 460.   0. 938. 214.  17. 255. 307. 340. 206. 233. 139. 169. 165.  14. 687.   0.  90.  61.],22,70,600,deepconv,1,1,128,"[32, 32, 32, 32]",False,1,64,3,lro,"LF,LW,ST,RW,RF",22labels
